VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y
5234, 1231,  0.08391, -1.57095E-17,  0.50297,  0.9834,  0.00,  0.18188,  0.00, -0.00612,  0.99951,  0.03308,  1.00, -0.99072,  0.53467
5235, 1233,  0.08218,  0.00508,  0.50173,  0.81152,  0.56445,  0.15076,  0.00, -0.56006,  0.8252, -0.07367,  1.00, -0.97998,  0.53271
5236, 1234,  0.08847, -1.57095E-17,  0.47217,  0.99463,  0.00,  0.104,  0.00,  0.00229,  1.00, -0.02193,  1.00, -0.99023,  0.47461
5237, 1235,  0.08641,  0.00556,  0.47091,  0.81104,  0.5791,  0.08209,  0.00, -0.57178,  0.81494, -0.09491,  1.00, -0.97852,  0.4729
5238, 1236,  0.06029,  0.00727,  0.52534, -0.44385,  0.896, -0.01204,  0.00, -0.87744, -0.43701, -0.19836,  1.00, -0.94287,  0.58447
5239, 1226,  0.05133,  0.00284,  0.58127, -0.65186,  0.75439, -0.07544,  0.00, -0.73633, -0.65332, -0.17603,  1.00, -0.9458,  0.69238
5240, 1232,  0.05317,  0.00449,  0.58205, -0.27271,  0.96191, -0.00452,  0.00, -0.94287, -0.26831, -0.19678,  1.00, -0.95068,  0.69287
5241, 1226,  0.05133,  0.00284,  0.58127, -0.65186,  0.75439, -0.07544,  0.00, -0.73633, -0.65332, -0.17603,  1.00, -0.9458,  0.69238
5242, 1236,  0.06029,  0.00727,  0.52534, -0.44385,  0.896, -0.01204,  0.00, -0.87744, -0.43701, -0.19836,  1.00, -0.94287,  0.58447
5243, 1237,  0.05815,  0.00461,  0.52322, -0.75439,  0.65381, -0.05981,  0.00, -0.63525, -0.75, -0.18335,  1.00, -0.93555,  0.58154
5244, 1238,  0.06795,  0.00759,  0.53064,  0.05081,  0.99658,  0.06543,  0.00, -0.98193,  0.06177, -0.17847,  1.00, -0.95996,  0.5918
5245, 1232,  0.05317,  0.00449,  0.58205, -0.27271,  0.96191, -0.00452,  0.00, -0.94287, -0.26831, -0.19678,  1.00, -0.95068,  0.69287
5246, 1229,  0.06044,  0.00321,  0.58444,  0.30493,  0.9458,  0.112,  0.00, -0.93311,  0.32031, -0.16284,  1.00, -0.96582,  0.69482
5247, 1232,  0.05317,  0.00449,  0.58205, -0.27271,  0.96191, -0.00452,  0.00, -0.94287, -0.26831, -0.19678,  1.00, -0.95068,  0.69287
5248, 1238,  0.06795,  0.00759,  0.53064,  0.05081,  0.99658,  0.06543,  0.00, -0.98193,  0.06177, -0.17847,  1.00, -0.95996,  0.5918
